technique,year_start,year_end,num_groups,groups
Visual Basic,2020,2022,29,"MuddyWater, APT37, Lazarus Group, Confucius, Sandworm Team, BRONZE BUTLER, Rancor, Earth Lusca, Machete, Patchwork, APT32, Gamaredon Group, APT33, Inception, HEXANE, APT-C-36, OilRig, Kimsuky, Molerats, Higaisa, Windshift, Transparent Tribe, Mustang Panda, FIN7, APT39, LazyScripter, SideCopy, Sidewinder, APT38"
Windows Command Shell,2017,2019,29,"BRONZE BUTLER, Gorgon Group, APT37, APT41, Threat Group-3390, FIN8, Threat Group-1314, Patchwork, APT32, Darkhotel, MuddyWater, APT18, GALLIUM, Turla, Sowbug, admin@338, APT3, menuPass, FIN10, Suckfly, Ke3chang, APT28, Dark Caracal, Silence, Magic Hound, APT38, APT1, Rancor, Gamaredon Group"
Ingress Tool Transfer,2017,2019,28,"OilRig, APT33, Leviathan, Gamaredon Group, APT32, APT38, menuPass, GALLIUM, Turla, Threat Group-3390, APT3, BRONZE BUTLER, APT37, Elderwood, MuddyWater, PLATINUM, Cobalt Group, Patchwork, Rancor, Gorgon Group, WIRTE, FIN8, APT18, TA505, Magic Hound, APT28, FIN7, Lazarus Group"
Registry Run Keys / Startup Folder,2018,2020,28,"Gamaredon Group, Kimsuky, Magic Hound, BRONZE BUTLER, Gorgon Group, APT41, Wizard Spider, APT33, Threat Group-3390, APT3, Molerats, PROMETHIUM, Dark Caracal, MuddyWater, APT39, Cobalt Group, Rocke, APT32, Ke3chang, APT19, APT18, Tropic Trooper, Leviathan, Silence, APT37, Inception, RTM, Turla"
Domains,2020,2022,27,"TA505, Gamaredon Group, Magic Hound, Silent Librarian, APT32, Leviathan, Transparent Tribe, menuPass, BITTER, Ferocious Kitten, Mustang Panda, TeamTNT, Kimsuky, IndigoZebra, APT28, ZIRCONIUM, LazyScripter, SideCopy, Winnti Group, Dragonfly, HEXANE, Lazarus Group, Sandworm Team, APT1, EXOTIC LILY, Earth Lusca, FIN7"
Malicious File,2021,2023,27,"Magic Hound, CURIUM, Sidewinder, EXOTIC LILY, APT38, Ferocious Kitten, LazyScripter, Higaisa, Mustang Panda, Dragonfly, WIRTE, Earth Lusca, BITTER, Threat Group-3390, IndigoZebra, Aoqin Dragon, TA551, Nomadic Octopus, Transparent Tribe, Tonto Team, Andariel, Ajax Security Team, Indrik Spider, SideCopy, HEXANE, Confucius, TA2541"
PowerShell,2020,2022,27,"Silence, Indrik Spider, DarkVishnya, Confucius, Mustang Panda, HAFNIUM, Sandworm Team, Dragonfly, Sidewinder, Nomadic Octopus, LazyScripter, Wizard Spider, Fox Kitten, Molerats, Inception, GOLD SOUTHFIELD, Gamaredon Group, TeamTNT, Chimera, Aquatic Panda, APT39, HEXANE, Earth Lusca, APT38, Tonto Team, Blue Mockingbird, Lazarus Group"
Registry Run Keys / Startup Folder,2017,2019,27,"Patchwork, Kimsuky, Magic Hound, Lazarus Group, BRONZE BUTLER, Gorgon Group, APT41, APT33, FIN6, FIN7, Threat Group-3390, APT3, Darkhotel, Dark Caracal, MuddyWater, APT39, Cobalt Group, APT32, Ke3chang, APT19, APT18, Leviathan, Putter Panda, APT29, APT37, FIN10, Turla"
Registry Run Keys / Startup Folder,2019,2021,26,"Gamaredon Group, Kimsuky, Confucius, APT41, Wizard Spider, APT33, Dragonfly, Windshift, TeamTNT, Molerats, Naikon, PROMETHIUM, Sidewinder, ZIRCONIUM, APT28, APT39, Rocke, APT32, APT18, Tropic Trooper, LazyScripter, Mustang Panda, Silence, Inception, Higaisa, RTM"
Spearphishing Link,2019,2021,26,"APT32, Sandworm Team, Confucius, Mofang, Evilnum, Wizard Spider, Windshift, BlackTech, Machete, Transparent Tribe, APT39, MuddyWater, APT1, FIN4, Magic Hound, ZIRCONIUM, TA505, Dragonfly, Molerats, Kimsuky, Mustang Panda, Silent Librarian, FIN7, Sidewinder, LazyScripter, APT3"
Spearphishing Link,2020,2022,26,"APT32, Sandworm Team, Confucius, Mofang, Evilnum, Wizard Spider, Windshift, Earth Lusca, BlackTech, Transparent Tribe, Lazarus Group, MuddyWater, APT28, APT1, EXOTIC LILY, Magic Hound, ZIRCONIUM, Dragonfly, Molerats, Kimsuky, Mustang Panda, Silent Librarian, FIN7, Sidewinder, LazyScripter, APT3"
Visual Basic,2018,2020,26,"MuddyWater, Magic Hound, APT37, WIRTE, Silence, Sandworm Team, FIN4, Turla, BRONZE BUTLER, Rancor, Machete, Patchwork, Gorgon Group, Cobalt Group, APT32, TA505, Gamaredon Group, APT33, TA459, Inception, Leviathan, APT-C-36, Kimsuky, Molerats, FIN7, APT39"
Web Protocols,2019,2021,26,"APT39, Tropic Trooper, Confucius, TA505, APT33, SilverTerrier, APT41, Sidewinder, Windshift, HAFNIUM, WIRTE, Rocke, TeamTNT, APT28, Chimera, Inception, FIN8, FIN4, Wizard Spider, APT38, MuddyWater, TA551, Higaisa, Sandworm Team, Mustang Panda, APT18"
Match Legitimate Resource Name or Location,2019,2021,25,"Sandworm Team, PROMETHIUM, APT29, Darkhotel, Lazarus Group, Blue Mockingbird, APT39, Transparent Tribe, BackdoorDiplomacy, Ferocious Kitten, Whitefly, Tropic Trooper, Machete, Indrik Spider, FIN7, Sidewinder, Fox Kitten, Naikon, APT28, Chimera, Silence, Rocke, menuPass, Mustang Panda, APT41"
Domains,2021,2023,24,"TA505, Gamaredon Group, Magic Hound, Silent Librarian, Leviathan, Transparent Tribe, BITTER, Ferocious Kitten, Mustang Panda, TeamTNT, Kimsuky, IndigoZebra, ZIRCONIUM, Threat Group-3390, LazyScripter, SideCopy, TA2541, Winnti Group, Dragonfly, HEXANE, Lazarus Group, EXOTIC LILY, Earth Lusca, FIN7"
Match Legitimate Resource Name or Location,2021,2023,24,"Gamaredon Group, LuminousMoth, APT29, WIRTE, Kimsuky, TeamTNT, Darkhotel, Lazarus Group, Volt Typhoon, TA2541, SideCopy, FIN13, Transparent Tribe, BackdoorDiplomacy, Ferocious Kitten, Indrik Spider, Earth Lusca, FIN7, Sidewinder, Naikon, Ke3chang, APT28, Magic Hound, Mustang Panda"
Exploitation for Client Execution,2019,2021,23,"APT41, admin@338, Transparent Tribe, APT28, Higaisa, Darkhotel, MuddyWater, Andariel, APT32, Inception, The White Company, APT12, Confucius, Threat Group-3390, APT3, APT33, Tonto Team, BlackTech, Sidewinder, Sandworm Team, Tropic Trooper, Dragonfly, Mustang Panda"
Spearphishing Link,2018,2020,23,"FIN8, APT32, Sandworm Team, Mofang, Wizard Spider, Windshift, OilRig, Patchwork, Magic Hound, APT29, BlackTech, Machete, APT39, Leviathan, Elderwood, APT1, FIN4, TA505, Molerats, Kimsuky, Turla, APT33, Cobalt Group"
Web Protocols,2020,2022,23,"APT39, Tropic Trooper, Confucius, TA505, SilverTerrier, APT41, Sidewinder, Windshift, HAFNIUM, Rocke, TeamTNT, APT28, Chimera, Inception, FIN8, BITTER, Wizard Spider, Kimsuky, MuddyWater, TA551, Higaisa, Sandworm Team, Mustang Panda"
Windows Command Shell,2020,2022,23,"FIN6, Tropic Trooper, Fox Kitten, Higaisa, Wizard Spider, ZIRCONIUM, Chimera, LazyScripter, Kimsuky, Mustang Panda, Cobalt Group, Machete, FIN7, Nomadic Octopus, Aquatic Panda, OilRig, TeamTNT, Indrik Spider, TA551, Blue Mockingbird, Dragonfly, Lazarus Group, TA505"
Exploitation for Client Execution,2018,2020,22,"APT41, admin@338, APT28, Lazarus Group, MuddyWater, APT32, Elderwood, TA459, Patchwork, Inception, APT29, The White Company, APT12, APT37, Threat Group-3390, BRONZE BUTLER, APT33, Cobalt Group, BlackTech, Sandworm Team, Leviathan, Tropic Trooper"
File Deletion,2017,2019,22,"menuPass, BRONZE BUTLER, Cobalt Group, Threat Group-3390, Group5, Lazarus Group, Kimsuky, FIN8, OilRig, The White Company, APT32, Silence, FIN10, APT41, Magic Hound, Patchwork, APT29, APT28, APT38, FIN5, APT3, APT18"
Ingress Tool Transfer,2022,2024,22,"HEXANE, Metador, TA2541, Volt Typhoon, Cinnamon Tempest, Wizard Spider, Daggerfly, Winnti Group, Play, Aquatic Panda, Winter Vivern, INC Ransom, Moses Staff, Mustard Tempest, Ke3chang, SideCopy, LazyScripter, Moonstone Sleet, FIN13, BlackByte, BITTER, LuminousMoth"
PowerShell,2023,2025,22,"Medusa Group, UNC3886, CURIUM, Cinnamon Tempest, BlackByte, Scattered Spider, Volt Typhoon, MoustachedBouncer, APT42, Ember Bear, RedCurl, Saint Bear, Akira, APT5, FIN13, ToddyCat, Storm-0501, Storm-1811, Winter Vivern, Play, Daggerfly, TA2541"
Scheduled Task,2019,2021,22,"APT39, APT41, APT37, APT-C-36, BRONZE BUTLER, GALLIUM, Silence, Wizard Spider, APT33, Dragonfly, Naikon, Gamaredon Group, MuddyWater, Confucius, Molerats, Mustang Panda, Fox Kitten, Chimera, Machete, Higaisa, APT38, Blue Mockingbird"
Scheduled Task,2020,2022,22,"Magic Hound, APT37, APT-C-36, BRONZE BUTLER, Wizard Spider, HEXANE, Dragonfly, Naikon, Gamaredon Group, MuddyWater, Confucius, Molerats, Mustang Panda, Fox Kitten, Chimera, Kimsuky, Machete, BITTER, Higaisa, APT38, Blue Mockingbird, Lazarus Group"
Exploit Public-Facing Application,2020,2022,21,"BackdoorDiplomacy, APT41, APT39, Fox Kitten, Kimsuky, Ke3chang, menuPass, Volatile Cedar, MuddyWater, Dragonfly, Blue Mockingbird, Magic Hound, BlackTech, Moses Staff, APT29, Threat Group-3390, APT28, HAFNIUM, GOLD SOUTHFIELD, Rocke, Earth Lusca"
Exploit Public-Facing Application,2022,2024,21,"FIN7, Sea Turtle, Kimsuky, Ke3chang, MuddyWater, BlackByte, Volt Typhoon, Magic Hound, Play, Sandworm Team, APT5, Moses Staff, Winter Vivern, Threat Group-3390, FIN13, Agrius, ToddyCat, Ember Bear, INC Ransom, Cinnamon Tempest, Earth Lusca"
File Deletion,2018,2020,21,"Rocke, menuPass, Gamaredon Group, BRONZE BUTLER, Cobalt Group, Wizard Spider, Kimsuky, FIN6, FIN8, OilRig, The White Company, APT32, Tropic Trooper, Silence, APT41, Magic Hound, Patchwork, APT38, FIN5, APT3, Sandworm Team"
Match Legitimate Resource Name or Location,2022,2024,21,"Gamaredon Group, LuminousMoth, WIRTE, ToddyCat, Kimsuky, TeamTNT, Turla, Volt Typhoon, TA2541, SideCopy, FIN13, Earth Lusca, INC Ransom, Ember Bear, RedCurl, Aquatic Panda, Akira, Ke3chang, Magic Hound, Mustard Tempest, APT5"
PowerShell,2021,2023,21,"Indrik Spider, Cinnamon Tempest, Confucius, Mustang Panda, HAFNIUM, Volt Typhoon, MoustachedBouncer, Dragonfly, Sidewinder, Nomadic Octopus, LazyScripter, Gamaredon Group, TeamTNT, FIN13, Aquatic Panda, HEXANE, Earth Lusca, APT38, Tonto Team, Lazarus Group, TA2541"
PowerShell,2022,2024,21,"CURIUM, Cinnamon Tempest, BlackByte, Volt Typhoon, MoustachedBouncer, Ember Bear, RedCurl, Saint Bear, Akira, APT5, Gamaredon Group, FIN13, Aquatic Panda, ToddyCat, HEXANE, Earth Lusca, Winter Vivern, Play, Lazarus Group, Daggerfly, TA2541"
Spearphishing Attachment,2021,2023,21,"Andariel, WIRTE, Dragonfly, Sidewinder, BITTER, Tonto Team, APT38, Transparent Tribe, LazyScripter, Threat Group-3390, Higaisa, TA2541, Nomadic Octopus, SideCopy, TA551, Confucius, Mustang Panda, Ferocious Kitten, EXOTIC LILY, IndigoZebra, Ajax Security Team"
Upload Malware,2022,2024,21,"TA2541, Threat Group-3390, LuminousMoth, Saint Bear, OilRig, Star Blizzard, FIN7, TA505, Gamaredon Group, Moonstone Sleet, Mustang Panda, LazyScripter, BITTER, BlackByte, SideCopy, EXOTIC LILY, Sandworm Team, Kimsuky, HEXANE, Mustard Tempest, Earth Lusca"
Web Protocols,2017,2019,21,"Ke3chang, APT33, Rancor, APT37, Gamaredon Group, Cobalt Group, Turla, WIRTE, Stealth Falcon, Dark Caracal, APT19, OilRig, Lazarus Group, Magic Hound, Orangeworm, FIN4, APT38, APT32, BRONZE BUTLER, Threat Group-3390, APT18"
Domains,2022,2024,20,"Mustard Tempest, TA505, Gamaredon Group, CURIUM, BITTER, Kimsuky, Star Blizzard, Sea Turtle, Threat Group-3390, LazyScripter, SideCopy, TA2541, Winnti Group, OilRig, HEXANE, Moonstone Sleet, Winter Vivern, RedEcho, EXOTIC LILY, Earth Lusca"
File and Directory Discovery,2019,2021,20,"Dragonfly, Darkhotel, Windigo, Tropic Trooper, Fox Kitten, Chimera, APT41, MuddyWater, APT38, Gamaredon Group, Kimsuky, APT18, Sidewinder, menuPass, Confucius, APT39, Sandworm Team, Mustang Panda, APT32, Inception"
LSASS Memory,2018,2020,20,"Fox Kitten, Sandworm Team, GALLIUM, APT33, Threat Group-3390, FIN8, APT39, BRONZE BUTLER, OilRig, Kimsuky, Magic Hound, APT41, Leafminer, Leviathan, APT32, PLATINUM, Whitefly, Silence, Blue Mockingbird, MuddyWater"
Registry Run Keys / Startup Folder,2020,2022,20,"Gamaredon Group, Confucius, Wizard Spider, Dragonfly, Windshift, TeamTNT, Molerats, Naikon, PROMETHIUM, Sidewinder, ZIRCONIUM, APT28, Rocke, Tropic Trooper, LazyScripter, Mustang Panda, Silence, Inception, Higaisa, RTM"
Scheduled Task,2018,2020,20,"APT39, APT41, APT-C-36, BRONZE BUTLER, GALLIUM, Rancor, Silence, Wizard Spider, APT33, Patchwork, Gamaredon Group, OilRig, MuddyWater, Molerats, Cobalt Group, Fox Kitten, Chimera, Machete, FIN8, Blue Mockingbird"
Spearphishing Link,2021,2023,20,"Confucius, Evilnum, Earth Lusca, LuminousMoth, Mustang Panda, Transparent Tribe, Lazarus Group, TA2541, MuddyWater, APT28, EXOTIC LILY, Magic Hound, ZIRCONIUM, Dragonfly, Silent Librarian, Patchwork, FIN7, Sidewinder, LazyScripter, APT3"
Exploit Public-Facing Application,2023,2025,19,"Salt Typhoon, FIN7, Sea Turtle, UNC3886, BlackByte, Volt Typhoon, Medusa Group, Leviathan, Play, Sandworm Team, APT5, Winter Vivern, FIN13, Storm-0501, Agrius, ToddyCat, Ember Bear, INC Ransom, Cinnamon Tempest"
File and Directory Discovery,2020,2022,19,"Dragonfly, Aoqin Dragon, Darkhotel, Windigo, TeamTNT, Tropic Trooper, Fox Kitten, Chimera, APT41, APT38, Gamaredon Group, Sidewinder, menuPass, Confucius, APT39, Sandworm Team, Mustang Panda, Inception, Winnti Group"
Malicious Link,2018,2020,19,"Windshift, OilRig, Machete, TA505, Sandworm Team, APT39, Cobalt Group, Elderwood, APT33, APT32, FIN8, Leviathan, Molerats, Mofang, Wizard Spider, FIN4, Turla, BlackTech, Patchwork"
Malicious Link,2021,2023,19,"TA2541, FIN7, LazyScripter, Kimsuky, Sidewinder, APT3, Mustang Panda, MuddyWater, Mustard Tempest, LuminousMoth, EXOTIC LILY, APT29, Transparent Tribe, Magic Hound, APT28, Confucius, Evilnum, ZIRCONIUM, Earth Lusca"
PowerShell,2024,2026,19,"Medusa Group, UNC3886, CURIUM, BlackByte, Scattered Spider, APT42, VOID MANTICORE, Ember Bear, RedCurl, Saint Bear, Akira, APT5, ToddyCat, Storm-0501, Storm-1811, APT-C-36, Winter Vivern, Play, Daggerfly"
System Information Discovery,2023,2025,19,"APT42, Moonstone Sleet, Winter Vivern, Contagious Interview, TA2541, BlackByte, Medusa Group, Mustard Tempest, Scattered Spider, CURIUM, Daggerfly, APT41, Malteiro, FIN7, FIN13, RedCurl, Play, Storm-0501, FIN8"
Windows Command Shell,2023,2025,19,"Cinnamon Tempest, ToddyCat, Winter Vivern, Agrius, HAFNIUM, UNC3886, Volt Typhoon, TA577, Medusa Group, Saint Bear, INC Ransom, Storm-1811, Contagious Interview, BlackByte, APT5, Metador, RedCurl, FIN13, Play"
DLL,2020,2022,18,"Naikon, BackdoorDiplomacy, Higaisa, RTM, Chimera, Evilnum, Aquatic Panda, Lazarus Group, BlackTech, SideCopy, Sidewinder, Mustang Panda, Earth Lusca, Tonto Team, BRONZE BUTLER, MuddyWater, APT41, Whitefly"
Drive-by Compromise,2018,2020,18,"Windshift, PLATINUM, APT32, RTM, Leafminer, Dark Caracal, APT38, PROMETHIUM, BRONZE BUTLER, Patchwork, Elderwood, Threat Group-3390, Dragonfly, APT19, Lazarus Group, Darkhotel, Turla, APT37"
Encrypted/Encoded File,2017,2019,18,"APT28, Group5, menuPass, Leviathan, APT19, TA505, OilRig, APT33, APT18, Elderwood, APT32, Darkhotel, Tropic Trooper, Threat Group-3390, Lazarus Group, Putter Panda, Magic Hound, Dark Caracal"
Encrypted/Encoded File,2018,2020,18,"menuPass, Leviathan, APT19, TA505, OilRig, Inception, APT33, APT18, Elderwood, Fox Kitten, Mofang, Darkhotel, Tropic Trooper, Threat Group-3390, Magic Hound, Dark Caracal, Whitefly, Blue Mockingbird"
Exploitation for Client Execution,2020,2022,18,"Aoqin Dragon, BITTER, Transparent Tribe, Higaisa, Darkhotel, Axiom, MuddyWater, Andariel, EXOTIC LILY, Inception, Confucius, APT3, Tonto Team, BlackTech, Sidewinder, Sandworm Team, Dragonfly, Mustang Panda"
File Deletion,2019,2021,18,"Rocke, Gamaredon Group, Mustang Panda, Chimera, Wizard Spider, Kimsuky, FIN6, APT39, Evilnum, The White Company, APT32, Tropic Trooper, Silence, APT41, TeamTNT, APT38, Dragonfly, Sandworm Team"
File and Directory Discovery,2018,2020,18,"Dark Caracal, APT3, BRONZE BUTLER, Magic Hound, Tropic Trooper, Fox Kitten, Sowbug, Leafminer, APT41, MuddyWater, Gamaredon Group, Kimsuky, APT18, menuPass, APT39, Sandworm Team, APT32, Inception"
LSASS Memory,2017,2019,18,"GALLIUM, APT33, FIN8, APT39, Ke3chang, APT28, BRONZE BUTLER, OilRig, Cleaver, Magic Hound, APT3, APT41, Leafminer, APT32, PLATINUM, APT1, MuddyWater, FIN6"
Process Discovery,2017,2019,18,"APT37, Stealth Falcon, Poseidon Group, Molerats, Ke3chang, Magic Hound, Darkhotel, Tropic Trooper, Deep Panda, OilRig, APT28, Turla, Lazarus Group, APT38, APT3, MuddyWater, APT1, Winnti Group"
